what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1496329796773
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1496329796773
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1496329796773
java.vm.specification.version,sysinfo,,,"1.8",1496329796773
java.vm.vendor,sysinfo,,,"Oracle Corporation",1496329796773
java.vm.version,sysinfo,,,"25.131-b11",1496329796773
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1496329796789
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1496329799188
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1496329801253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496329814021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496329819129
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496329819401
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1496329819539
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496329829756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496329975125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1496329975134
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1496329975615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496329977690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496329980148
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1496329982851
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1496329983146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496329988204
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1496330010332
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1496330027726
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1496330027757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1496330039670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496330052493
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496330054577
